_experiment
ParticipantId,SubjectId,OpponentId,Phase,RoundNumber,SubjectChoice,OpponentChoice,SubjectRoundScore,OpponentRoundScore,SubjectTotalScore,OpponentTotalScore,SubjectSelfRace,SubjectSelfGender
20230427134041407,White_Female,Black_Male,4,1,1,1,20,14,80,74,Asian,Female
20230427134041407,White_Female,Black_Male,4,2,1,1,0,0,80,74,Asian,Female
20230427134041407,White_Female,Black_Male,4,3,0,1,0,0,80,74,Asian,Female
20230427134041407,White_Female,Black_Male,4,4,0,0,-1,5,79,79,Asian,Female
20230427134041407,White_Female,Black_Male,4,5,0,0,2,8,82,82,Asian,Female
20230427134041407,White_Female,Black_Male,4,6,0,0,5,11,85,85,Asian,Female
20230427134041407,White_Female,Black_Male,4,7,0,0,8,14,88,88,Asian,Female
20230427134041407,White_Female,Black_Male,4,8,0,0,11,17,91,91,Asian,Female
20230427134041407,White_Female,Black_Male,4,9,0,0,14,20,94,94,Asian,Female
20230427134041407,White_Female,Black_Male,4,10,0,0,17,23,97,97,Asian,Female
20230427134041407,White_Female,Black_Male,5,1,0,0,20,26,100,100,Asian,Female
20230427134041407,White_Female,Black_Male,5,2,0,0,3,3,103,103,Asian,Female
20230427134041407,White_Female,Black_Male,5,3,0,0,6,6,106,106,Asian,Female
20230427134041407,White_Female,Black_Male,5,4,0,0,9,9,109,109,Asian,Female
20230427134041407,White_Female,Black_Male,5,5,0,0,12,12,112,112,Asian,Female
20230427134041407,White_Female,Black_Male,5,6,0,0,15,15,115,115,Asian,Female
20230427134041407,White_Female,Black_Male,5,7,0,0,18,18,118,118,Asian,Female
20230427134041407,White_Female,Black_Male,5,8,0,0,21,21,121,121,Asian,Female
20230427134041407,White_Female,Black_Male,5,9,0,0,24,24,124,124,Asian,Female
20230427134041407,White_Female,Black_Male,5,10,0,0,27,27,127,127,Asian,Female
20230427142040943,Black_Male,Arab_Male,1,1,1,0,0,0,0,0,Arab,Male
20230427142040943,Black_Male,Arab_Male,1,2,0,1,5,-1,5,-1,Arab,Male
20230427142040943,Black_Male,Arab_Male,1,3,1,0,4,4,4,4,Arab,Male
20230427142040943,Black_Male,Arab_Male,1,4,1,1,9,3,9,3,Arab,Male
20230427142040943,Black_Male,Arab_Male,1,5,1,1,9,3,9,3,Arab,Male
20230427142040943,Black_Male,Arab_Male,1,6,0,1,9,3,9,3,Arab,Male
20230427142040943,Black_Male,Arab_Male,1,7,1,0,8,8,8,8,Arab,Male
20230427142040943,Black_Male,Arab_Male,1,8,0,1,13,7,13,7,Arab,Male
20230427142040943,Black_Male,Arab_Male,1,9,1,0,12,12,12,12,Arab,Male
20230427142040943,Black_Male,Arab_Male,1,10,1,1,17,11,17,11,Arab,Male
20230427142040943,Black_Male,Arab_Male,2,1,0,1,17,11,17,11,Arab,Male
20230427142040943,Black_Male,Arab_Male,2,2,1,0,-1,5,16,16,Arab,Male
20230427142040943,Black_Male,Arab_Male,2,3,0,1,4,4,21,15,Arab,Male
20230427142040943,Black_Male,Arab_Male,2,4,1,0,3,9,20,20,Arab,Male
20230427142040943,Black_Male,Arab_Male,2,5,1,1,8,8,25,19,Arab,Male
20230427142040943,Black_Male,Arab_Male,2,6,1,1,8,8,25,19,Arab,Male
20230427142040943,Black_Male,Arab_Male,2,7,1,1,8,8,25,19,Arab,Male
20230427142040943,Black_Male,Arab_Male,2,8,1,1,8,8,25,19,Arab,Male
20230427142040943,Black_Male,Arab_Male,2,9,1,1,8,8,25,19,Arab,Male
20230427142040943,Black_Male,Arab_Male,2,10,1,1,8,8,25,19,Arab,Male
20230427142040943,Black_Male,Arab_Male,3,1,1,1,8,8,25,19,Arab,Male
20230427142040943,Black_Male,Arab_Male,3,2,1,1,0,0,25,19,Arab,Male
20230427142040943,Black_Male,Arab_Male,3,3,0,1,0,0,25,19,Arab,Male
20230427142040943,Black_Male,Arab_Male,3,4,0,0,-1,5,24,24,Arab,Male
20230427142040943,Black_Male,Arab_Male,3,5,0,0,2,8,27,27,Arab,Male
20230427142040943,Black_Male,Arab_Male,3,6,1,0,5,11,30,30,Arab,Male
20230427142040943,Black_Male,Arab_Male,3,7,1,1,10,10,35,29,Arab,Male
20230427142040943,Black_Male,Arab_Male,3,8,1,1,10,10,35,29,Arab,Male
20230427142040943,Black_Male,Arab_Male,3,9,1,1,10,10,35,29,Arab,Male
20230427142040943,Black_Male,Arab_Male,3,10,0,1,10,10,35,29,Arab,Male
20230427142040943,Black_Male,Arab_Male,4,1,1,0,9,15,34,34,Arab,Male
20230427142040943,Black_Male,Arab_Male,4,2,1,1,5,-1,39,33,Arab,Male
20230427142040943,Black_Male,Arab_Male,4,3,1,1,5,-1,39,33,Arab,Male
20230427142040943,Black_Male,Arab_Male,4,4,1,1,5,-1,39,33,Arab,Male
